City,Country,Max Temperature,Humidity,Wind Speed,Cloudiness,Longitude,Latitude
lufilufi,ws,85.01539999999996,99,5.26,48,-171.6,-13.87
faanui,pf,83.21539999999996,99,3.11,0,-151.75,-16.48
atuona,pf,81.63139999999996,100,6.11,92,-139.03,-9.8
san patricio,mx,63.45140000000002,100,1.16,0,-104.7,19.22
coahuayana,mx,61.25539999999998,70,0.96,0,-100.35,18.62
lazaro cardenas,mx,50.455399999999976,62,1.46,0,-105.62,28.39
ixtapa,mx,68.26999999999995,100,0.61,5,-105.21,20.71
puerto ayora,ec,73.9454,100,2.26,0,-90.35,-0.74
san cristobal,ec,59.185400000000016,100,1.01,92,-79.44,-1.02
manta,ec,75.46999999999997,94,1.5,75,-80.73,-0.95
bahia de caraquez,ec,75.46999999999997,94,1.5,75,-80.42,-0.6
pedernales,ec,72.41539999999995,97,1.86,92,-80.05,0.07
santo domingo,ec,71.86999999999996,88,4.1,75,-80.3,-2.48
cayambe,ec,46.585400000000014,97,0.76,88,-78.14,0.04
nueva loja,ec,69.35539999999997,99,0.91,80,-76.88,0.08
puerto asis,co,70.25539999999998,99,0.91,88,-76.5,0.51
puerto leguizamo,co,72.86539999999997,98,0.96,88,-74.78,-0.19
miraflores,co,50.76140000000001,99,0.66,48,-73.14,5.2
mitu,co,72.23540000000003,98,0.76,64,-70.17,1.2
sao gabriel da cachoeira,br,74.66539999999995,96,1.11,80,-67.09,-0.13
santa isabel do rio negro,br,75.38540000000002,98,2.21,92,-65.02,-0.41
barcelos,br,73.13540000000002,95,2.31,88,-62.93,-0.97
boa vista,br,80.86999999999996,65,3.1,0,-60.67,2.82
urucara,br,72.1454,100,1.21,92,-57.76,-2.54
oriximina,br,75.2954,94,1.21,92,-55.87,-1.77
alenquer,br,72.27139999999999,100,1.16,64,-54.74,-1.95
prainha,br,73.26140000000001,100,0.86,56,-53.48,-1.8
almeirim,br,71.78540000000001,100,1.96,92,-52.58,-1.53
mazagao,br,75.46999999999997,100,2.1,90,-51.29,-0.12
macapa,br,75.46999999999997,100,2.1,90,-51.07,0.05
soure,br,75.78139999999996,100,1.76,92,-48.52,-0.72
curuca,br,73.13540000000002,100,1.16,92,-61.06,-2.52
salinopolis,br,77.40140000000002,100,3.81,92,-47.36,-0.61
viseu,br,74.93540000000002,98,0.81,76,-46.14,-1.2
carutapera,br,74.93540000000002,98,0.81,76,-46.02,-1.2
cururupu,br,75.65539999999999,98,1.41,76,-44.87,-1.82
tutoia,br,72.72139999999999,100,2.31,92,-42.27,-2.76
camocim,br,73.08139999999997,99,2.16,80,-40.84,-2.9
itarema,br,72.68540000000002,100,1.46,64,-39.92,-2.92
paracuru,br,79.06999999999996,94,1.5,20,-39.03,-3.41
caucaia,br,79.06999999999996,94,1.5,20,-38.66,-3.73
aquiraz,br,79.06999999999996,94,1.5,20,-38.39,-3.9
touros,br,80.33540000000002,90,3.36,92,-35.46,-5.2
georgetown,sh,80.78540000000001,100,6.21,0,-14.42,-7.93
monrovia,lr,77.26999999999995,100,1.96,20,-10.8,6.33
buchanan,lr,77.26999999999995,100,1.76,20,-10.05,5.88
harper,lr,82.22540000000004,100,2.11,12,-7.71,4.38
tabou,ci,82.13540000000002,100,2.51,48,-7.36,4.42
axim,gh,83.57540000000003,95,3.66,12,-2.24,4.87
takoradi,gh,83.43139999999997,93,1.96,8,-1.75,4.89
mumford,gh,85.05140000000003,75,1.96,8,-0.76,5.26
anloga,gh,80.86999999999996,83,3.6,20,0.9,5.79
port-gentil,ga,80.86999999999996,88,1.5,20,8.78,-0.72
libreville,ga,75.46999999999997,94,3.1,75,9.45,0.39
kango,ga,80.33540000000002,89,1.16,88,10.1,0.19
ndjole,ga,79.92139999999998,90,2.46,88,10.76,-0.18
booue,ga,83.03540000000001,82,1.41,36,11.94,-0.09
makokou,ga,80.10140000000003,83,1.36,88,12.85,0.56
ewo,cg,75.15140000000002,93,1.51,80,14.81,-0.88
owando,cg,76.77139999999999,90,1.36,88,15.91,-0.49
mbandaka,cd,83.66539999999995,77,1.31,48,18.26,0.05
boende,cd,79.16539999999995,85,0.91,68,20.88,-0.28
basoko,cd,78.98540000000003,90,0.61,44,23.61,1.23
yangambi,cd,82.44140000000004,79,1.36,44,24.47,0.77
kisangani,cd,82.76539999999996,81,1.21,64,25.21,0.52
butembo,cd,72.95539999999997,84,1.06,64,29.29,0.12
kilembe,ug,74.30539999999998,96,1.16,56,30.01,0.2
lyantonde,ug,72.05539999999998,92,3.31,76,31.15,-0.41
lukaya,ug,70.70539999999997,92,4.21,92,31.87,-0.15
lugazi,ug,75.78139999999996,100,2.01,48,32.94,0.37
ahero,ke,71.86999999999996,78,2.11,75,34.92,-0.17
rongai,ke,67.46539999999996,92,0.41,56,35.86,-0.17
nanyuki,ke,63.86539999999995,83,0.16,80,37.07,0.01
maua,ke,74.07139999999998,88,1.61,20,37.94,0.23
garissa,ke,87.57139999999998,69,2.36,24,39.64,-0.46
jamame,so,84.56539999999995,100,2.76,20,42.75,0.07
mogadishu,so,83.43139999999997,100,0.86,56,45.34,2.04
hobyo,so,83.66539999999995,89,2.86,56,48.53,5.35
victoria,sc,84.46999999999997,79,5.1,75,55.45,-4.62
thinadhoo,mv,85.23139999999997,100,3.96,48,72.93,0.53
matara,lk,86.18540000000002,88,2.36,32,80.54,5.95
hambantota,lk,85.10539999999997,100,4.46,12,81.12,6.12
meulaboh,id,82.80140000000003,100,2.01,24,96.13,4.14
sibolga,id,76.73540000000003,95,0.81,76,98.78,1.74
payakumbuh,id,80.3714,86,0.61,44,100.63,-0.23
sijunjung,id,78.1214,89,0.86,56,100.95,-0.69
kijang,id,86.18540000000002,78,5.81,0,104.63,0.9
sungairaya,id,81.23540000000003,92,2.31,56,108.9,0.7
pontianak,id,83.79140000000004,91,2.81,68,109.34,-0.02
sri aman,my,93.46999999999997,63,1.21,75,111.46,1.24
kapit,my,79.97540000000004,86,1.26,48,112.94,2.02
loa janan,id,83.66539999999995,83,1.21,24,117.09,-0.58
bontang,id,82.89140000000005,99,3.31,8,117.47,0.12
palu,id,70.92139999999998,92,0.76,100,119.87,-0.9
poso,id,81.23540000000003,100,1.56,8,120.75,-1.4
gorontalo,id,82.22540000000004,71,1.86,24,123.06,0.54
tondano,id,88.06999999999996,66,4.6,40,124.91,1.3
sorong,id,82.49539999999999,100,1.21,80,131.25,-0.86
manokwari,id,81.68540000000002,100,4.91,44,134.08,-0.87
biak,id,78.71539999999996,100,0.86,32,122.88,-0.91
vanimo,pg,83.57540000000003,100,8.16,20,141.3,-2.67
aitape,pg,83.97139999999999,87,5.36,12,142.36,-3.15
lorengau,pg,84.11539999999997,95,4.61,0,147.27,-2.02
kavieng,pg,85.28540000000001,99,3.61,12,150.8,-2.57
namatanai,pg,83.97139999999999,99,2.81,88,152.44,-3.66
kieta,pg,83.57540000000003,86,4.46,32,155.63,-6.22
buala,sb,81.32540000000003,96,1.16,88,159.59,-8.15
